time	cell	C	M	X	MI	XI	V1	V3	VM1	VM3	Kc	reaction1	reaction2	reaction3	reaction4	reaction5	reaction6	reaction7
67.0	1.0	0.3915533734828701	0.03317350205850435	3.5247967750095296E-4	0.9668264979414869	0.9996475203224894	1.3175432401312988	0.03317350205850435	3.0	1.0	0.5	0.025	0.003915533734828701	8.383761117159008E-5	1.3107645443305458	1.3035286364739194	0.033008401854763954	0.03292676467157779
68.0	1.0	0.4124382947146122	0.04163116092074976	4.5028849470684853E-4	0.9583688390792409	0.9995497115052849	1.356053216213199	0.04163116092074976	3.0	1.0	0.5	0.025	0.004124382947146122	1.0736573353723551E-4	1.3490151371244603	1.3391633437403299	0.041423947875721026	0.04130868440672038
69.0	1.0	0.4330872299953783	0.05330414561093275	5.912080472773761E-4	0.9466958543890561	0.9994087919527156	1.392433256205393	0.05330414561093275	3.0	1.0	0.5	0.025	0.004330872299953783	1.4127779299195168E-4	1.3851177191575865	1.3713642071003327	0.053038794759576194	0.052869437362938344
70.0	1.0	0.453489211769428	0.06976043384892902	8.025410687013016E-4	0.9302395661510597	0.9991974589312906	1.4268306536826043	0.06976043384892902	3.0	1.0	0.5	0.025	0.00453489211769428	1.9216051158689066E-4	1.4192024977249031	1.3996795548945646	0.06941308964272495	0.06915427734154087
71.0	1.0	0.47362461387988	0.09317449646823936	0.001131954434929859	0.9068255035317516	0.9988680455650609	1.459365161258073	0.09317449646823936	3.0	1.0	0.5	0.025	0.0047362461387988	2.715228673259259E-4	1.451362724631736	1.423605414136997	0.0927104190584649	0.09229964499424782
72.0	1.0	0.49345847837074314	0.1262178381669707	0.0016650910836103789	0.8737821618330222	0.9983349089163854	1.490123107651185	0.1262178381669707	3.0	1.0	0.5	0.025	0.004934584783707431	4.000583041662202E-4	1.4816447658483485	1.4428431369944041	0.12558884660570183	0.12491135250235953
73.0	1.0	0.5129272938343428	0.17166321334062098	0.002567269608487728	0.8283367866593715	0.9974327303915039	1.519143467521851	0.17166321334062098	3.0	1.0	0.5	0.025	0.005129272938343428	6.177309119178315E-4	1.5100286444884667	1.4575463399641702	0.17080698025815982	0.16962984942469764
74.0	1.0	0.5319081934037515	0.23181713555879913	0.0042054575395735665	0.7681828644411951	0.9957945424604181	1.546382314251962	0.23181713555879913	3.0	1.0	0.5	0.025	0.0053190819340375155	0.0010132651358712172	1.5363822069981006	1.4683299944393684	0.2306589700926442	0.2284219725904238
75.0	1.0	0.5501297093562416	0.3079970753619044	0.007590448064430076	0.6920029246380934	0.9924095519355631	1.571605024945403	0.3079970753619044	3.0	1.0	0.5	0.025	0.005501297093562416	0.0018310442865201522	1.560331004640815	1.476038114760887	0.3064530903721667	0.3014367727656271
76.0	1.0	0.56683654018463	0.40001864891740013	0.016407746088988037	0.599981351082596	0.9835922539110041	1.5939739186844823	0.40001864891740013	3.0	1.0	0.5	0.025	0.0056683654018463	0.003962138256755346	1.58080017443739	1.4814823341590635	0.3979954758279142	0.3832198406311452
77.0	1.0	0.5792904679798166	0.5048743732174862	0.045980192741251535	0.49512562678250915	0.9540198072587402	1.6101980472340736	0.5048743732174862	3.0	1.0	0.5	0.025	0.005792904679798166	0.011111426259068597	1.594100111425494	1.4852904942982867	0.5022421315818278	0.45096134664125975
78.0	1.0	0.5784113703760698	0.6119223519261314	0.13283140447876776	0.3880776480738639	0.8671685955212248	1.6090651107685265	0.6119223519261314	3.0	1.0	0.5	0.025	0.005784113703760699	0.0320979841364218	1.5885975884017225	1.4878428784812485	0.6084143011027672	0.48186189853136757
79.0	1.0	0.5472344315676059	0.6932506533148951	0.2974862607930234	0.3067493466851003	0.7025137392069691	1.567655956694769	0.6932506533148951	3.0	1.0	0.5	0.025	0.005472344315676059	0.07174931376007278	1.5425130658857904	1.4892588714892079	0.6883514505510594	0.4917351618105041
80.0	1.0	0.47089691918384	0.6972505822839195	0.5023995046339308	0.3027494177160751	0.49760049536606216	1.4550368114661059	0.6972505822839195	3.0	1.0	0.5	0.025	0.0047089691918384005	0.12048271729069825	1.431396851035563	1.489320051575311	0.6903141527667134	0.4950729159623369
81.0	1.0	0.3528524030455745	0.5473013459022584	0.6380991117006759	0.4526986540977361	0.36190088829931644	1.2411962554793394	0.5473013459022584	3.0	1.0	0.5	0.025	0.0035285240304557455	0.15096778450782095	1.2276371566665398	1.4864204567748287	0.5398429100772711	0.4961125743225041
82.0	1.0	0.2330983658780953	0.15825021200284545	0.5115773455237628	0.8417497879971486	0.4884226544762295	0.9538898600553823	0.15825021200284545	3.0	1.0	0.5	0.025	0.002330983658780953	0.11778804146771782	0.9482572052051719	1.4540582526173425	0.15664661506047536	0.49516045366359374
